Year,Fuel_Price,Dates,Date_year
4/1/1993,0.7,1993-04-01,1993
5/1/1993,0.7,1993-05-01,1993
6/1/1993,0.7,1993-06-01,1993
7/1/1993,0.7,1993-07-01,1993
8/1/1993,0.7,1993-08-01,1993
9/1/1993,0.7,1993-09-01,1993
10/1/1993,3.25,1993-10-01,1993
11/1/1993,3.25,1993-11-01,1993
12/1/1993,3.25,1993-12-01,1993
1/1/1994,3.25,1994-01-01,1994
2/1/1994,3.25,1994-02-01,1994
3/1/1994,3.25,1994-03-01,1994
4/1/1994,3.25,1994-04-01,1994
5/1/1994,3.25,1994-05-01,1994
6/1/1994,3.25,1994-06-01,1994
7/1/1994,3.25,1994-07-01,1994
8/1/1994,3.25,1994-08-01,1994
9/1/1994,3.25,1994-09-01,1994
10/1/1994,11,1994-10-01,1994
11/1/1994,11,1994-11-01,1994
12/1/1994,11,1994-12-01,1994
1/1/1995,11,1995-01-01,1995
2/1/1995,11,1995-02-01,1995
3/1/1995,11,1995-03-01,1995
4/1/1995,11,1995-04-01,1995
5/1/1995,11,1995-05-01,1995
6/1/1995,11,1995-06-01,1995
7/1/1995,11,1995-07-01,1995
8/1/1995,11,1995-08-01,1995
9/1/1995,11,1995-09-01,1995
10/1/1995,11,1995-10-01,1995
11/1/1995,11,1995-11-01,1995
12/1/1995,11,1995-12-01,1995
1/1/1996,11,1996-01-01,1996
2/1/1996,11,1996-02-01,1996
3/1/1996,11,1996-03-01,1996
4/1/1996,11,1996-04-01,1996
5/1/1996,11,1996-05-01,1996
6/1/1996,11,1996-06-01,1996
7/1/1996,11,1996-07-01,1996
8/1/1996,11,1996-08-01,1996
9/1/1996,11,1996-09-01,1996
10/1/1996,11,1996-10-01,1996
11/1/1996,11,1996-11-01,1996
12/1/1996,11,1996-12-01,1996
1/1/1997,11,1997-01-01,1997
2/1/1997,11,1997-02-01,1997
3/1/1997,11,1997-03-01,1997
4/1/1997,11,1997-04-01,1997
5/1/1997,11,1997-05-01,1997
6/1/1997,11,1997-06-01,1997
7/1/1997,11,1997-07-01,1997
8/1/1997,11,1997-08-01,1997
9/1/1997,11,1997-09-01,1997
10/1/1997,11,1997-10-01,1997
11/1/1997,11,1997-11-01,1997
12/1/1997,11,1997-12-01,1997
1/1/1998,11,1998-01-01,1998
2/1/1998,11,1998-02-01,1998
3/1/1998,11,1998-03-01,1998
4/1/1998,11,1998-04-01,1998
5/1/1998,11,1998-05-01,1998
6/1/1998,11,1998-06-01,1998
7/1/1998,11,1998-07-01,1998
8/1/1998,11,1998-08-01,1998
9/1/1998,11,1998-09-01,1998
10/1/1998,11,1998-10-01,1998
11/1/1998,11,1998-11-01,1998
12/1/1998,25,1998-12-01,1998
1/1/1999,20,1999-01-01,1999
2/1/1999,20,1999-02-01,1999
3/1/1999,20,1999-03-01,1999
4/1/1999,20,1999-04-01,1999
5/1/1999,20,1999-05-01,1999
6/1/1999,20,1999-06-01,1999
7/1/1999,20,1999-07-01,1999
8/1/1999,20,1999-08-01,1999
9/1/1999,20,1999-09-01,1999
10/1/1999,20,1999-10-01,1999
11/1/1999,20,1999-11-01,1999
12/1/1999,20,1999-12-01,1999
1/1/2000,20,2000-01-01,2000
2/1/2000,20,2000-02-01,2000
3/1/2000,20,2000-03-01,2000
4/1/2000,20,2000-04-01,2000
5/1/2000,20,2000-05-01,2000
6/1/2000,22,2000-06-01,2000
7/1/2000,22,2000-07-01,2000
8/1/2000,22,2000-08-01,2000
9/1/2000,22,2000-09-01,2000
10/1/2000,22,2000-10-01,2000
11/1/2000,22,2000-11-01,2000
12/1/2000,22,2000-12-01,2000
1/1/2001,22,2001-01-01,2001
2/1/2001,22,2001-02-01,2001
3/1/2001,22,2001-03-01,2001
4/1/2001,22,2001-04-01,2001
5/1/2001,22,2001-05-01,2001
6/1/2001,22,2001-06-01,2001
7/1/2001,22,2001-07-01,2001
8/1/2001,22,2001-08-01,2001
9/1/2001,22,2001-09-01,2001
10/1/2001,22,2001-10-01,2001
11/1/2001,22,2001-11-01,2001
12/1/2001,22,2001-12-01,2001
1/1/2002,26,2002-01-01,2002
2/1/2002,26,2002-02-01,2002
3/1/2002,26,2002-03-01,2002
4/1/2002,26,2002-04-01,2002
5/1/2002,26,2002-05-01,2002
6/1/2002,26,2002-06-01,2002
7/1/2002,26,2002-07-01,2002
8/1/2002,26,2002-08-01,2002
9/1/2002,26,2002-09-01,2002
10/1/2002,26,2002-10-01,2002
11/1/2002,26,2002-11-01,2002
12/1/2002,26,2002-12-01,2002
1/1/2003,26,2003-01-01,2003
2/1/2003,26,2003-02-01,2003
3/1/2003,26,2003-03-01,2003
4/1/2003,26,2003-04-01,2003
5/1/2003,26,2003-05-01,2003
6/1/2003,40,2003-06-01,2003
7/1/2003,40,2003-07-01,2003
8/1/2003,40,2003-08-01,2003
9/1/2003,40,2003-09-01,2003
10/1/2003,40,2003-10-01,2003
11/1/2003,40,2003-11-01,2003
12/1/2003,40,2003-12-01,2003
1/1/2004,40,2004-01-01,2004
2/1/2004,40,2004-02-01,2004
3/1/2004,40,2004-03-01,2004
4/1/2004,40,2004-04-01,2004
5/1/2004,40,2004-05-01,2004
6/1/2004,40,2004-06-01,2004
7/1/2004,40,2004-07-01,2004
8/1/2004,40,2004-08-01,2004
9/1/2004,40,2004-09-01,2004
10/1/2004,40,2004-10-01,2004
11/1/2004,40,2004-11-01,2004
12/1/2004,40,2004-12-01,2004
1/1/2005,40,2005-01-01,2005
2/1/2005,40,2005-02-01,2005
3/1/2005,40,2005-03-01,2005
4/1/2005,40,2005-04-01,2005
5/1/2005,40,2005-05-01,2005
6/1/2005,40,2005-06-01,2005
7/1/2005,40,2005-07-01,2005
8/1/2005,40,2005-08-01,2005
9/1/2005,40,2005-09-01,2005
10/1/2005,40,2005-10-01,2005
11/1/2005,40,2005-11-01,2005
12/1/2005,40,2005-12-01,2005
1/1/2006,40,2006-01-01,2006
2/1/2006,40,2006-02-01,2006
3/1/2006,40,2006-03-01,2006
4/1/2006,40,2006-04-01,2006
5/1/2006,40,2006-05-01,2006
6/1/2006,40,2006-06-01,2006
7/1/2006,40,2006-07-01,2006
8/1/2006,40,2006-08-01,2006
9/1/2006,40,2006-09-01,2006
10/1/2006,40,2006-10-01,2006
11/1/2006,40,2006-11-01,2006
12/1/2006,40,2006-12-01,2006
1/1/2007,40,2007-01-01,2007
2/1/2007,40,2007-02-01,2007
3/1/2007,40,2007-03-01,2007
4/1/2007,40,2007-04-01,2007
5/1/2007,40,2007-05-01,2007
6/1/2007,40,2007-06-01,2007
7/1/2007,40,2007-07-01,2007
8/1/2007,40,2007-08-01,2007
9/1/2007,40,2007-09-01,2007
10/1/2007,40,2007-10-01,2007
11/1/2007,40,2007-11-01,2007
12/1/2007,40,2007-12-01,2007
1/1/2008,40,2008-01-01,2008
2/1/2008,40,2008-02-01,2008
3/1/2008,40,2008-03-01,2008
4/1/2008,40,2008-04-01,2008
5/1/2008,40,2008-05-01,2008
6/1/2008,40,2008-06-01,2008
7/1/2008,40,2008-07-01,2008
8/1/2008,40,2008-08-01,2008
9/1/2008,40,2008-09-01,2008
10/1/2008,40,2008-10-01,2008
11/1/2008,40,2008-11-01,2008
12/1/2008,40,2008-12-01,2008
1/1/2009,40,2009-01-01,2009
2/1/2009,40,2009-02-01,2009
3/1/2009,40,2009-03-01,2009
4/1/2009,40,2009-04-01,2009
5/1/2009,70,2009-05-01,2009
6/1/2009,65,2009-06-01,2009
7/1/2009,65,2009-07-01,2009
8/1/2009,65,2009-08-01,2009
9/1/2009,65,2009-09-01,2009
10/1/2009,65,2009-10-01,2009
11/1/2009,65,2009-11-01,2009
12/1/2009,65,2009-12-01,2009
1/1/2010,65,2010-01-01,2010
2/1/2010,65,2010-02-01,2010
3/1/2010,65,2010-03-01,2010
4/1/2010,65,2010-04-01,2010
5/1/2010,65,2010-05-01,2010
6/1/2010,65,2010-06-01,2010
7/1/2010,65,2010-07-01,2010
8/1/2010,65,2010-08-01,2010
9/1/2010,65,2010-09-01,2010
10/1/2010,65,2010-10-01,2010
11/1/2010,65,2010-11-01,2010
12/1/2010,65,2010-12-01,2010
1/1/2011,65,2011-01-01,2011
2/1/2011,65,2011-02-01,2011
3/1/2011,65,2011-03-01,2011
4/1/2011,65,2011-04-01,2011
5/1/2011,65,2011-05-01,2011
6/1/2011,65,2011-06-01,2011
7/1/2011,65,2011-07-01,2011
8/1/2011,65,2011-08-01,2011
9/1/2011,65,2011-09-01,2011
10/1/2011,65,2011-10-01,2011
11/1/2011,65,2011-11-01,2011
12/1/2011,65,2011-12-01,2011
1/1/2012,97,2012-01-01,2012
2/1/2012,97,2012-02-01,2012
3/1/2012,97,2012-03-01,2012
4/1/2012,97,2012-04-01,2012
5/1/2012,97,2012-05-01,2012
6/1/2012,97,2012-06-01,2012
7/1/2012,97,2012-07-01,2012
8/1/2012,97,2012-08-01,2012
9/1/2012,97,2012-09-01,2012
10/1/2012,97,2012-10-01,2012
11/1/2012,97,2012-11-01,2012
12/1/2012,97,2012-12-01,2012
1/1/2013,97,2013-01-01,2013
2/1/2013,97,2013-02-01,2013
3/1/2013,97,2013-03-01,2013
4/1/2013,97,2013-04-01,2013
5/1/2013,97,2013-05-01,2013
6/1/2013,97,2013-06-01,2013
7/1/2013,97,2013-07-01,2013
8/1/2013,97,2013-08-01,2013
9/1/2013,97,2013-09-01,2013
10/1/2013,97,2013-10-01,2013
11/1/2013,97,2013-11-01,2013
12/1/2013,97,2013-12-01,2013
1/1/2014,97,2014-01-01,2014
2/1/2014,97,2014-02-01,2014
3/1/2014,97,2014-03-01,2014
4/1/2014,97,2014-04-01,2014
5/1/2014,97,2014-05-01,2014
6/1/2014,97,2014-06-01,2014
7/1/2014,97,2014-07-01,2014
8/1/2014,97,2014-08-01,2014
9/1/2014,97,2014-09-01,2014
10/1/2014,97,2014-10-01,2014
11/1/2014,97,2014-11-01,2014
12/1/2014,97,2014-12-01,2014
1/1/2015,97,2015-01-01,2015
2/1/2015,87,2015-02-01,2015
3/1/2015,87,2015-03-01,2015
4/1/2015,87,2015-04-01,2015
5/1/2015,87,2015-05-01,2015
6/1/2015,87,2015-06-01,2015
7/1/2015,87,2015-07-01,2015
8/1/2015,87,2015-08-01,2015
9/1/2015,87,2015-09-01,2015
10/1/2015,87,2015-10-01,2015
11/1/2015,87,2015-11-01,2015
12/1/2015,87,2015-12-01,2015
1/1/2016,86.5,2016-01-01,2016
2/1/2016,86.5,2016-02-01,2016
3/1/2016,86.5,2016-03-01,2016
4/1/2016,86.5,2016-04-01,2016
5/1/2016,145,2016-05-01,2016
6/1/2016,145,2016-06-01,2016
7/1/2016,145,2016-07-01,2016
8/1/2016,145,2016-08-01,2016
9/1/2016,145,2016-09-01,2016
10/1/2016,145,2016-10-01,2016
11/1/2016,145,2016-11-01,2016
12/1/2016,145,2016-12-01,2016
1/1/2017,145,2017-01-01,2017
2/1/2017,145,2017-02-01,2017
3/1/2017,145,2017-03-01,2017
4/1/2017,145,2017-04-01,2017
5/1/2017,145,2017-05-01,2017
6/1/2017,145,2017-06-01,2017
7/1/2017,145,2017-07-01,2017
8/1/2017,145,2017-08-01,2017
9/1/2017,145,2017-09-01,2017
10/1/2017,145,2017-10-01,2017
11/1/2017,145,2017-11-01,2017
12/1/2017,145,2017-12-01,2017
